Rang,Code INSEE,Commune,URL Wikipédia,Département,Statut,Région,Population 2023,Population 2017,Population 2012,Population 2007,Population 1999
1,75056,Paris,https://fr.wikipedia.org/wiki/Paris,Paris,Préfecture et capitale,Île-de-France,2103778,2187526,2240621,2193030,2125246
2,13055,Marseille,https://fr.wikipedia.org/wiki/Marseille,Bouches-du-Rhône,Préfecture,Provence-Alpes-Côte d'Azur,886040,863310,852516,852395,798430
3,69123,Lyon,https://fr.wikipedia.org/wiki/Lyon,Métropole de Lyon,Préfecture,Auvergne-Rhône-Alpes,519127,516092,496343,472330,445452
4,31555,Toulouse,https://fr.wikipedia.org/wiki/Toulouse,Haute-Garonne,Préfecture,Occitanie,514819,479553,453317,439453,390350
5,06088,Nice,https://fr.wikipedia.org/wiki/Nice,Alpes-Maritimes,Préfecture,Provence-Alpes-Côte d'Azur,357737,340017,343629,348721,342738
6,44109,Nantes,https://fr.wikipedia.org/wiki/Nantes,Loire-Atlantique,Préfecture,Pays de la Loire,327734,309346,291604,283025,270251
7,34172,Montpellier,https://fr.wikipedia.org/wiki/Montpellier,Hérault,Préfecture,Occitanie,310240,285121,268456,253712,225392
8,67482,Strasbourg,https://fr.wikipedia.org/wiki/Strasbourg,Bas-Rhin,Préfecture,Grand Est,293771,280966,274394,272123,264115
9,33063,Bordeaux,https://fr.wikipedia.org/wiki/Bordeaux,Gironde,Préfecture,Nouvelle-Aquitaine,267991,254436,241287,235178,215363
10,59350,Lille,https://fr.wikipedia.org/wiki/Lille,Nord,Préfecture,Hauts-de-France,238246,232787,228652,225789,212597
11,35238,Rennes,https://fr.wikipedia.org/wiki/Rennes,Ille-et-Vilaine,Préfecture,Bretagne,230890,216815,209860,207922,206229
12,83137,Toulon,https://fr.wikipedia.org/wiki/Toulon,Var,Préfecture,Provence-Alpes-Côte d'Azur,179116,171953,164899,166537,160639
13,51454,Reims,https://fr.wikipedia.org/wiki/Reims,Marne,Sous-préfecture,Grand Est,177674,182460,181893,183500,187206
14,42218,Saint-Étienne,https://fr.wikipedia.org/wiki/Saint-Étienne,Loire,Préfecture,Auvergne-Rhône-Alpes,173136,172565,171483,175318,180210
15,76351,Le Havre,https://fr.wikipedia.org/wiki/Le_Havre,Seine-Maritime,Sous-préfecture,Normandie,166687,170147,173142,179751,190905
16,69266,Villeurbanne,https://fr.wikipedia.org/wiki/Villeurbanne,Métropole de Lyon,—,Auvergne-Rhône-Alpes,163684,147712,146282,138151,124215
17,21231,Dijon,https://fr.wikipedia.org/wiki/Dijon,Côte-d'Or,Préfecture,Bourgogne-Franche-Comté,161830,156920,152071,151543,149867
18,49007,Angers,https://fr.wikipedia.org/wiki/Angers,Maine-et-Loire,Préfecture,Pays de la Loire,159022,152960,149017,151108,151279
19,38185,Grenoble,https://fr.wikipedia.org/wiki/Grenoble,Isère,Préfecture,Auvergne-Rhône-Alpes,156140,158454,158346,156793,153317
21,30189,Nîmes,https://fr.wikipedia.org/wiki/Nîmes,Gard,Préfecture,Occitanie,151839,150610,146709,143468,133424
22,13001,Aix-en-Provence,https://fr.wikipedia.org/wiki/Aix-en-Provence,Bouches-du-Rhône,Sous-préfecture,Provence-Alpes-Côte d'Azur,149695,142482,141148,143404,134222
23,93066,Saint-Denis,https://fr.wikipedia.org/wiki/Saint-Denis,Seine-Saint-Denis,Sous-préfecture,Île-de-France,149077,141441,136199,129138,111648
24,63113,Clermont-Ferrand,https://fr.wikipedia.org/wiki/Clermont-Ferrand,Puy-de-Dôme,Préfecture,Auvergne-Rhône-Alpes,146351,143886,141569,139501,137140
25,72181,Le Mans,https://fr.wikipedia.org/wiki/Le_Mans,Sarthe,Préfecture,Pays de la Loire,146249,142946,143599,144164,146105
26,29019,Brest,https://fr.wikipedia.org/wiki/Brest,Finistère,Sous-préfecture,Bretagne,142346,140064,139676,142722,149634
27,37261,Tours,https://fr.wikipedia.org/wiki/Tours,Indre-et-Loire,Préfecture,Centre-Val de Loire,139259,135787,134978,136578,132820
28,80021,Amiens,https://fr.wikipedia.org/wiki/Amiens,Somme,Préfecture,Hauts-de-France,136449,134057,132727,134737,135501
29,74010,Annecy,https://fr.wikipedia.org/wiki/Annecy,Haute-Savoie,Préfecture,Auvergne-Rhône-Alpes,132117,126924,119454,116877,112379
30,87085,Limoges,https://fr.wikipedia.org/wiki/Limoges,Haute-Vienne,Préfecture,Nouvelle-Aquitaine,129937,132175,136221,138882,133968
31,57463,Metz,https://fr.wikipedia.org/wiki/Metz,Moselle,Préfecture,Grand Est,122572,116429,119551,123580,123776
32,66136,Perpignan,https://fr.wikipedia.org/wiki/Perpignan,Pyrénées-Orientales,Préfecture,Occitanie,121616,120158,120489,116041,105115
33,92012,Boulogne-Billancourt,https://fr.wikipedia.org/wiki/Boulogne-Billancourt,Hauts-de-Seine,Sous-préfecture,Île-de-France,119019,120071,117126,111045,106367
34,25056,Besançon,https://fr.wikipedia.org/wiki/Besançon,Doubs,Préfecture,Bourgogne-Franche-Comté,118489,115934,116353,117836,117733
35,76540,Rouen,https://fr.wikipedia.org/wiki/Rouen,Seine-Maritime,Préfecture,Normandie,117662,110145,111557,108569,106592
36,45234,Orléans,https://fr.wikipedia.org/wiki/Orléans,Loiret,Préfecture,Centre-Val de Loire,116357,116685,114286,113234,113126
37,93048,Montreuil,https://fr.wikipedia.org/wiki/Montreuil,Seine-Saint-Denis,—,Île-de-France,111934,109897,103520,102097,90674
38,14118,Caen,https://fr.wikipedia.org/wiki/Caen,Calvados,Préfecture,Normandie,109400,105354,108365,109630,113987
40,95018,Argenteuil,https://fr.wikipedia.org/wiki/Argenteuil,Val-d'Oise,Sous-préfecture,Île-de-France,106130,110210,104962,102572,93961
41,68224,Mulhouse,https://fr.wikipedia.org/wiki/Mulhouse,Haut-Rhin,Sous-préfecture,Grand Est,104978,109443,110755,111394,110359
42,54395,Nancy,https://fr.wikipedia.org/wiki/Nancy,Meurthe-et-Moselle,Préfecture,Grand Est,103671,104286,105067,105349,103605
43,59599,Tourcoing,https://fr.wikipedia.org/wiki/Tourcoing,Nord,—,Hauts-de-France,98772,97368,92707,92118,93540
44,59512,Roubaix,https://fr.wikipedia.org/wiki/Roubaix,Nord,—,Hauts-de-France,98286,96990,94536,97423,96984
45,92050,Nanterre,https://fr.wikipedia.org/wiki/Nanterre,Hauts-de-Seine,Préfecture,Île-de-France,97783,95105,90722,88875,84281
46,94081,Vitry-sur-Seine,https://fr.wikipedia.org/wiki/Vitry-sur-Seine,Val-de-Marne,—,Île-de-France,93963,93557,88102,83650,78908
47,92004,Asnières-sur-Seine,https://fr.wikipedia.org/wiki/Asnières-sur-Seine,Hauts-de-Seine,—,Île-de-France,93941,85191,83845,82056,75837
48,94028,Créteil,https://fr.wikipedia.org/wiki/Créteil,Val-de-Marne,Préfecture,Île-de-France,93397,90605,89845,89410,82154
49,84007,Avignon,https://fr.wikipedia.org/wiki/Avignon,Vaucluse,Préfecture,Provence-Alpes-Côte d'Azur,92188,91921,89380,91283,85935
50,92025,Colombes,https://fr.wikipedia.org/wiki/Colombes,Hauts-de-Seine,—,Île-de-France,91053,85177,85357,82552,76757
51,86194,Poitiers,https://fr.wikipedia.org/wiki/Poitiers,Vienne,Préfecture,Nouvelle-Aquitaine,89916,88291,87646,89253,83448
52,93001,Aubervilliers,https://fr.wikipedia.org/wiki/Aubervilliers,Seine-Saint-Denis,—,Île-de-France,88365,86375,77032,73699,63136
53,93005,Aulnay-sous-Bois,https://fr.wikipedia.org/wiki/Aulnay-sous-Bois,Seine-Saint-Denis,—,Île-de-France,87599,85740,81899,82513,80021
54,59183,Dunkerque,https://fr.wikipedia.org/wiki/Dunkerque,Nord,Sous-préfecture,Hauts-de-France,86263,87353,90995,93825,97957
56,78646,Versailles,https://fr.wikipedia.org/wiki/Versailles,Yvelines,Préfecture,Île-de-France,84095,85862,85424,86979,85726
57,92026,Courbevoie,https://fr.wikipedia.org/wiki/Courbevoie,Hauts-de-Seine,—,Île-de-France,82902,81719,86854,84974,69694
58,92063,Rueil-Malmaison,https://fr.wikipedia.org/wiki/Rueil-Malmaison,Hauts-de-Seine,—,Île-de-France,82874,78152,79563,78145,73469
